temperature,humidity,light_intensity,fan_cooling_pwm,fan_circulation_pwm,water_pump_pwm,grow_light_pwm
23.49750949214564,57.45277219768873,77.62639208873942,100,50,100,50
18.604733272003894,62.205555111389856,82.8344047080521,50,100,50,50
15.966248105352037,62.149157629582696,89.28456654949898,50,100,50,50
15.0,62.627053259104855,93.80202343681987,50,100,50,50
15.0,62.71797909276421,98.77381442945949,50,100,50,50
15.0,62.188806906084274,100.0,50,100,50,50
15.0,61.81282530025473,100.0,50,100,50,50
15.0,61.293593191036514,100.0,50,100,50,50
15.0,61.66106165466369,100.0,50,100,50,50
15.0,61.49476253217358,100.0,50,100,50,50
15.0,60.914302008558344,100.0,50,100,50,50
15.0,60.935161909827535,100.0,50,100,50,50
15.0,61.2508544364743,100.0,50,100,50,50
15.0,61.84225116114913,100.0,50,100,50,50
15.0,62.2698116358484,100.0,50,100,50,50
15.0,62.63028428088798,100.0,50,100,50,50
15.0,63.51001702101393,100.0,50,100,50,50
15.0,63.70792937199668,100.0,50,100,50,50
15.0,63.90926292601097,100.0,50,100,50,50
15.0,63.994988567274085,100.0,50,100,50,50
15.0,63.249527582262964,100.0,50,100,50,50
15.0,63.114361066550956,100.0,50,100,50,50
15.0,62.72957899843422,100.0,50,100,50,50
15.0,62.424369988654874,100.0,50,100,50,50
15.0,62.395219859652464,100.0,50,100,50,50
15.0,62.333992327667545,100.0,50,100,50,50
15.0,62.06913259990492,100.0,50,100,50,50
15.0,61.748032430469664,100.0,50,100,50,50
15.0,61.55626767933087,100.0,50,100,50,50
15.0,61.013522629358334,100.0,50,100,50,50
15.0,60.936415795826164,100.0,50,100,50,50
15.0,61.35084569927154,100.0,50,100,50,50
15.0,61.702111667853046,100.0,50,100,50,50
15.0,60.554297284700596,100.0,50,100,50,50
15.0,61.105159913297044,100.0,50,100,50,50
15.0,60.695060798326686,100.0,50,100,50,50
15.0,60.77905820478031,100.0,50,100,50,50
15.0,60.34165184187389,100.0,50,100,50,50
15.0,60.89691026578993,100.0,50,100,50,50
15.0,61.47513849181053,100.0,50,100,50,50
15.0,62.46165473994991,100.0,50,100,50,50
15.0,62.529326510699846,100.0,50,100,50,50
15.0,61.686940942295195,100.0,50,100,50,50
15.0,60.73913255486184,100.0,50,100,50,50
15.0,60.1265643936072,100.0,50,100,50,50
15.0,60.02341978631907,100.0,50,100,50,50
15.0,59.74222262168751,100.0,50,100,50,50
15.0,59.899030399192704,100.0,50,100,50,50
15.0,60.372006122397465,100.0,50,100,50,50
15.0,60.9425250406978,100.0,50,100,50,50
15.0,60.34327812168097,100.0,50,100,50,50
15.0,60.12681646981291,100.0,50,100,50,50
15.0,59.931285149511254,100.0,50,100,50,50
15.0,59.57133332360734,100.0,50,100,50,50
15.0,59.576103883634424,100.0,50,100,50,50
15.0,59.623922493988466,100.0,50,100,50,50
15.0,59.63735188440726,100.0,50,100,50,50
15.0,58.636962870549425,100.0,50,100,50,50
15.0,59.20113380127605,100.0,50,100,50,50
15.0,59.918968119044514,100.0,50,100,50,50
15.0,60.16562511945788,100.0,50,100,50,50
15.0,60.47596430163888,100.0,50,100,50,50
15.0,60.245225385811075,100.0,50,100,50,50
15.0,60.304235279266244,100.0,50,100,50,50
15.0,60.526522915286606,100.0,50,100,50,50
15.0,60.315563471325994,100.0,50,100,50,50
15.0,60.45290391704671,100.0,50,100,50,50
15.0,59.74669666190081,100.0,50,100,50,50
15.0,59.022669807475964,100.0,50,100,50,50
15.0,58.593088453736776,100.0,50,100,50,50
15.0,59.82253959494883,100.0,50,100,50,50
15.0,59.79231708268671,100.0,50,100,50,50
15.0,60.422389751686694,100.0,50,100,50,50
15.0,59.85919122320353,100.0,50,100,50,50
15.0,59.90370749170728,100.0,50,100,50,50
15.0,60.719811803013826,100.0,50,100,50,50
15.0,60.48597698911708,100.0,50,100,50,50
15.0,61.17578765150597,100.0,50,100,50,50
15.0,61.19907261600822,100.0,50,100,50,50
15.0,60.53100892095575,100.0,50,100,50,50
15.0,59.52817577272792,100.0,50,100,50,50
15.0,58.61176638999488,100.0,50,100,50,50
15.0,59.00859857628588,100.0,50,100,50,50
15.0,59.43694517737622,100.0,50,100,50,50
15.0,59.43983191218205,100.0,50,100,50,50
15.0,59.17561613917881,100.0,50,100,50,50
15.0,58.621217491400635,100.0,50,100,50,50
15.0,59.16305533088758,100.0,50,100,50,50
15.0,59.21671388668002,100.0,50,100,50,50
15.0,60.336415512804,100.0,50,100,50,50
15.0,60.89043866475477,100.0,50,100,50,50
15.0,60.79572526845139,100.0,50,100,50,50
15.0,60.690353462548835,100.0,50,100,50,50
15.0,60.512359910196814,100.0,50,100,50,50
15.0,59.88136026141211,100.0,50,100,50,50
15.0,59.61380377025772,100.0,50,100,50,50
15.0,59.656740388806405,100.0,50,100,50,50
15.0,59.613082119318,100.0,50,100,50,50
15.0,60.05625664738411,100.0,50,100,50,50
15.0,59.66868740240169,100.0,50,100,50,50
28.22907401994845,69.7249034486967,64.99797103758027,0,0,0,100
28.380128635157835,69.38296625488235,73.56550774168284,0,0,0,100
28.14887628634643,68.92636273828873,84.8674026271149,50,50,0,100
25.375802331872798,66.6451964295857,94.8982973884851,50,50,0,100
22.59942097167974,64.54801068442494,100.0,0,0,50,50
22.57151880281393,68.36515239093869,100.0,50,0,100,100
20.430942158727465,75.95056196885056,100.0,50,0,100,100
18.22147983797645,83.58279950337018,100.0,50,100,0,100
15.514601552389438,79.69887071085962,100.0,50,100,0,100
15.0,76.75093638505813,100.0,0,50,50,0
15.339437355601577,79.11567860725127,99.7864989541208,50,100,0,100
15.0,75.0635083943418,100.0,0,50,50,0
15.354095265979547,77.44798638643098,98.45325727076383,0,50,50,0
15.24967716058548,78.97816602835657,97.92993270757373,50,100,0,100
15.0,75.06656338412198,100.0,0,50,50,0
15.30759720490691,76.78982882966555,99.54916339794124,0,50,50,0
15.047700879985966,78.80145810174407,99.39161940885211,50,100,0,100
15.0,75.76623345684209,100.0,0,50,50,0
15.284415724522566,77.30724924448275,100.0,0,50,50,0
15.617559777795025,79.11255562693175,98.25900802452851,50,100,0,100
15.0,74.99803473171202,100.0,0,50,50,0
15.097844832266256,77.27209350790507,100.0,0,50,50,0
15.0,78.96112403017538,100.0,50,100,0,100
15.0,75.50814996575872,100.0,0,50,50,0
15.214328610894654,77.16259959209705,98.59885863797987,0,50,50,0
15.342351798072736,79.28073530484494,99.4652403468383,50,100,0,100
15.0,75.59731515186434,100.0,0,50,50,0
15.0,77.09036852484886,98.84540977001703,0,50,50,0
15.0,79.37611127893395,97.02640592268139,50,100,0,100
15.0,75.78585479801325,100.0,0,50,50,0
15.0,77.87958998371015,98.88540530781034,0,50,50,0
15.178908466775953,79.57636372019407,97.99280060616341,50,100,0,100
15.0,76.39814117630249,100.0,0,50,50,0
15.0,78.12752998871707,100.0,50,100,0,100
15.0,73.84310659841444,100.0,0,50,50,0
15.227913563418797,76.05303899138862,100.0,0,50,50,0
15.422033354959849,77.12068899363216,100.0,0,50,50,0
15.265868528391485,79.17771078514427,98.82365544865891,50,100,0,100
15.0,75.11603417581225,100.0,0,50,50,0
15.0,77.53491382598648,97.94147138392837,0,50,50,0
15.0,80.20244867083181,97.34843873306122,50,100,0,100
15.0,76.22636475431243,100.0,0,50,50,0
15.0,78.55989205308329,100.0,50,100,0,100
15.0,74.30937203004227,100.0,0,50,50,0
15.146470977720787,76.41306872598521,100.0,0,50,50,0
15.17452980381391,78.38842375189431,99.24643296789091,50,100,0,100
15.0,73.87394934160491,100.0,0,50,50,0
15.0,75.53315103046847,99.38175908705885,0,50,50,0
15.0,77.32933844475853,99.31697531400037,0,50,50,0
15.0,78.402778064084,97.96532088812731,50,100,0,100
15.0,75.11865726555978,100.0,0,50,50,0
15.0,76.50324130174317,98.87193983294144,0,50,50,0
15.0,79.26241766938685,98.18520231668266,50,100,0,100
15.0,74.56764113251822,100.0,0,50,50,0
15.227472054612432,76.64149874070709,99.08458394276205,0,50,50,0
15.0,78.98432085401771,98.77697409570433,50,100,0,100
15.0,74.83495532457225,100.0,0,50,50,0
15.0,77.50313774982436,100.0,0,50,50,0
15.0,79.48396535063242,100.0,50,100,0,100
15.0,74.91807268349778,100.0,0,50,50,0
15.0,77.55235706659829,100.0,0,50,50,0
15.0,79.04981593765866,100.0,50,100,0,100
