episode,reward,length
219,-6475.706670638513,100
220,-6657.090196346384,100
221,-7001.907512407316,100
222,-8192.092861000048,100
223,-7699.47933958563,100
224,-6790.857100973053,100
225,-7423.126155664566,100
226,-6288.873897393626,100
227,-6056.164772848204,100
228,-6433.333457473759,100
229,-8043.309685425778,100
230,-6991.083717629511,100
231,-5593.109981545767,100
232,-5693.890438739191,100
233,-6090.766602449773,100
234,-5776.353294240502,100
235,-5283.810639535802,100
236,-6687.335394431432,100
237,-6682.448272949654,100
238,-6423.636795610134,100
239,-7463.680806266447,100
240,-6823.628340241578,100
241,-5646.9309362277945,100
242,-6726.427497225153,100
243,-7520.977391946125,100
244,-6250.387027223522,100
245,-8069.457585496639,100
246,-7229.317108546738,100
247,-5513.12769470663,100
248,-7931.591256433681,100
249,-8052.350788581497,100
250,-8106.25985563932,100
251,-5566.224754286287,100
252,-6539.553768828762,100
253,-6054.845772013776,100
254,-5865.3304768644275,100
255,-5583.4204305340845,100
256,-5257.3171322063135,100
257,-6029.530612545398,100
258,-6219.776666810923,100
259,-6037.32801596975,100
260,-5274.618920646817,100
261,-6579.8469556065365,100
262,-6079.266503524376,100
263,-6172.33083499321,100
264,-6024.75345293544,100
265,-8246.309635301255,100
266,-7196.757873889909,100
267,-7811.162080372844,100
268,-8274.3049247518,100
269,-8526.776768755435,100
270,-7510.443500464074,100
271,-7607.466960324665,100
272,-7722.140571936311,100
273,-7883.525718582573,100
274,-8082.652304215851,100
275,-7961.23078815836,100
276,-7991.188588134149,100
277,-6342.105059734102,100
278,-8098.104499420601,100
279,-7385.083208115612,100
280,-7686.265638002386,100
281,-7669.4315123123815,100
282,-6435.051462196719,100
283,-7422.875104885136,100
284,-6582.310572148106,100
285,-7309.6381242007365,100
286,-5726.430998095742,100
287,-6054.010936320418,100
288,-5945.459867947015,100
289,-5464.914339956446,100
290,-5431.489594396288,100
291,-6840.008574865123,100
292,-6522.080580535334,100
293,-6319.541216314012,100
294,-7212.261266000118,100
295,-5730.075858781122,100
296,-6159.384233145893,100
297,-5328.145556107234,100
298,-5473.602637556522,100
299,-5218.083606271896,100
300,-5270.459986303057,100
301,-6451.405026916047,100
302,-6511.2006382789305,100
303,-6602.834611341852,100
304,-8099.386718638926,100
305,-7848.656960441214,100
306,-6240.222185762216,100
307,-6700.776497897297,100
308,-6517.898013757296,100
309,-5433.647574844356,100
310,-5720.495782037545,100
311,-7781.796481852134,100
312,-7880.196129227588,100
313,-7580.311315770937,100
314,-8460.880000546107,100
315,-7039.089559674953,100
316,-7004.897912982798,100
317,-7534.455295502439,100
318,-6480.4595604723545,100
319,-8129.312995022828,100
320,-7751.462838750185,100
321,-7074.667676323721,100
322,-6313.9461537045245,100
323,-6128.155595132975,100
324,-5652.657413884383,100
325,-6704.301128735475,100
326,-8133.263338311413,100
327,-8305.023968607882,100
328,-6795.44528598084,100
329,-6624.62402951332,100
330,-6081.029982359183,100
331,-5422.073097875556,100
332,-6019.723993815155,100
333,-6365.989753509028,100
334,-7714.516613263164,100
335,-8374.043768957044,100
336,-6843.334855753031,100
337,-6037.197493419288,100
338,-5812.460234703828,100
339,-5865.314079327473,100
340,-6156.533254421277,100
341,-6216.066058834373,100
342,-5927.769641864036,100
343,-5478.930262993403,100
344,-5739.891461146917,100
345,-5771.205745226915,100
346,-6143.08422415163,100
347,-7102.694715064094,100
348,-6733.725195513992,100
349,-7315.298507637017,100
350,-8095.421813046717,100
351,-7847.5732601093705,100
352,-7014.856630547603,100
353,-6270.3067207112235,100
354,-5401.553820077104,100
355,-5785.269392964442,100
356,-7330.149486379858,100
357,-7370.306705062824,100
358,-7085.899893361645,100
359,-6271.1475852304275,100
360,-5595.935928072597,100
361,-5760.280222919704,100
362,-5840.224433260932,100
363,-6046.938930301107,100
364,-7353.482166593417,100
365,-6906.041818143996,100
366,-6531.84308139048,100
367,-6894.016945891588,100
368,-5263.4173169410715,100
369,-5579.840011587737,100
370,-6575.862723097533,100
371,-6395.136354306415,100
372,-6041.728402407894,100
373,-5680.162014910991,100
374,-6073.893209471142,100
375,-6146.122945126824,100
376,-5621.227284636758,100
377,-6682.433454843887,100
378,-5804.99496023265,100
379,-6780.198325692565,100
380,-6589.410636738107,100
381,-6545.037103443346,100
382,-6663.680583951446,100
383,-5999.16950320088,100
384,-5166.94484349496,100
385,-6044.373928936261,100
386,-6663.695336263676,100
387,-5868.760644564651,100
388,-8197.512210651308,100
389,-7492.857409466701,100
390,-8186.671107491491,100
391,-5300.43767887121,100
392,-7933.49685086024,100
393,-8426.570797953023,100
394,-8290.446507065497,100
395,-5925.97541953661,100
396,-8671.853177358673,100
397,-8328.175162246465,100
398,-5531.964946858848,100
399,-5764.9071482554245,100
400,-5397.109742715634,100
401,-6424.666578324312,100
402,-5675.78727354897,100
403,-7368.061842033673,100
404,-7349.076369628554,100
405,-7609.103883935597,100
406,-6795.938403205064,100
407,-6866.374567743022,100
